Feature,Importance
card1_fq_enc,26335
uid_D1n,24409
day,19281
card2,19207
TransactionAmt,18389
addr1_fq_enc,17766
P_emaildomain_fq_enc,9966
Transaction_hour,9929
uid_TransactionAmt_mean,9376
card5,8185
dist1_fq_enc,7949
C13,7572
D15,6312
D10,6198
D4,5241
id_02,4899
id_20,4600
D11,4371
id_19,4315
D8,4111
D2,3974
D1,3878
C1,3736
C14,3734
C6,3709
R_emaildomain_fq_enc,3524
uid_D15_mean,3402
D5,3081
C2,3068
C11,2810
D3,2742
C9,2695
V313,2548
id_05,2486
dist2,2406
id_06,2374
V310,2261
C5,2225
V307,2178
id_13,2173
id_01,2114
card3,1975
uid_C1_mean,1879
V315,1771
V314,1722
D14,1651
uid_C2_mean,1547
id_14,1419
V53,1367
D9,1365
V130,1317
uid_D1_mean,1310
V62,1261
V312,1228
id_18,1169
V76,1158
V82,1117
C12,1110
V54,1101
V317,1090
V83,1086
V87,1083
C8,1081
C10,1078
V127,1063
V308,1050
V61,1047
D6,959
D13,932
V75,911
V285,907
V13,892
V12,891
V311,884
V35,878
V20,871
V36,854
V320,846
V78,825
V283,811
V45,809
V38,793
V19,791
V309,784
V281,783
V131,755
D12,684
V282,680
V291,679
V294,674
V86,674
V77,633
V4,626
V306,612
V10,612
id_32,612
V5,609
V67,606
V48,592
V136,585
V55,584
V165,577
V133,575
id_17,571
V37,571
V56,558
V258,527
V44,524
V129,524
V128,514
id_11,513
D7,511
V24,490
V316,484
V23,478
V96,475
V126,473
V139,469
V66,457
V99,447
V49,439
id_09,437
id_03,430
V221,429
V318,418
V261,412
V296,408
V124,406
addr2,399
V11,397
V29,393
V90,390
V267,388
V289,377
V91,373
V70,370
V264,370
V30,360
V25,359
V135,359
C4,349
V69,344
C7,337
V26,337
V160,326
V319,321
V234,320
V132,308
V266,308
V137,307
V7,299
V321,298
V277,298
V300,293
V208,291
V271,290
V102,278
V164,274
V292,270
V134,267
C3,259
V6,257
V51,257
V203,254
V209,253
V2,249
V187,249
V52,249
V224,244
V3,244
V47,242
V40,242
V280,238
V143,233
V150,232
id_25,229
V156,228
V159,220
id_07,219
V207,216
V332,213
V74,212
V149,210
V260,210
V222,210
V274,208
V288,205
V169,204
V206,204
V217,203
V270,201
V301,200
V166,198
V152,198
V145,198
V279,197
V268,194
V210,193
V73,191
V94,191
V81,191
V276,185
V215,185
V226,185
V34,181
V298,180
V323,178
V265,177
V46,176
V263,175
V293,175
V39,173
V189,173
V290,172
uid_TransactionAmt_std,167
V140,164
V262,163
V287,162
V295,161
V33,159
V272,158
V218,155
V229,154
V245,154
V79,148
V43,147
V205,147
V8,145
V170,145
V214,144
V204,143
V202,140
V115,139
V286,136
id_08,135
V9,133
V105,131
V216,126
id_10,126
id_04,124
V278,124
V324,123
V125,123
V275,122
V64,121
V333,121
V243,119
V85,119
V322,119
V123,118
V63,118
V212,117
id_21,117
V257,114
V251,114
V58,112
V59,111
id_26,111
V42,110
V171,109
V220,108
V303,108
V259,107
V97,107
V336,106
V151,102
uid_D15_std,100
V60,99
V201,98
V100,98
V211,96
V178,96
V80,95
V219,95
V71,92
V335,91
V15,89
V304,88
V144,88
V200,88
V331,88
V248,88
V95,86
V273,84
V338,82
V244,81
V232,81
V233,80
V256,79
V299,78
V103,77
V297,76
V108,76
V1,75
V253,75
V163,75
V162,75
V57,74
V225,73
V84,72
V230,72
V109,72
V50,71
V213,70
V72,70
V284,70
V180,67
V161,67
V184,67
V326,66
V182,66
V158,66
V176,64
V223,64
V17,63
V31,61
V93,61
V228,59
V246,58
V231,58
V21,58
id_24,57
V188,56
V227,56
V239,56
uid_D1_std,56
uid_C1_std,55
V16,54
V101,52
V104,51
V147,51
V238,51
V337,50
V116,50
V242,50
V22,50
V98,48
V92,47
V329,45
V254,45
V197,45
V167,44
V250,44
V172,44
V146,44
V339,43
V18,43
V192,42
V183,41
V249,41
V177,41
V168,41
V138,41
V302,41
V190,39
V175,39
V32,39
V198,38
V235,38
V199,38
V181,38
V157,38
V148,36
V14,36
V154,33
V237,33
V106,32
uid_C2_std,31
V236,31
V185,30
V114,28
V112,28
V173,27
V334,27
V186,26
V247,25
V179,25
V142,25
V121,24
V330,23
V174,21
V269,20
V65,20
V111,20
V110,20
V252,18
id_22,17
V155,17
V193,16
V327,16
V153,16
V328,15
V141,15
V195,15
V118,13
V194,10
V122,9
V191,9
V255,8
V196,7
V240,6
V41,5
V120,5
V325,3
V119,2
V113,1
V88,1
V241,0
id-01,0
id-17,0
id-13,0
id-04,0
id-06,0
id-05,0
id-25,0
V89,0
id-14,0
id-11,0
V28,0
id-08,0
id-09,0
V27,0
id-03,0
id-02,0
id-22,0
id-21,0
id-07,0
id-32,0
id-26,0
V107,0
id-24,0
id-10,0
V68,0
V305,0
id-18,0
V117,0
id-20,0
id-19,0
